data,categoria,tipo,valor
2026-01-01,Lazer,despesa,120.5
2026-01-02,Transporte,despesa,15.2
2026-01-03,Alimentacao,despesa,45.0
2026-01-04,Saude,despesa,80.0
2026-01-05,Lazer,despesa,60.0
2026-01-06,Transporte,despesa,20.0
2026-01-07,Alimentacao,despesa,30.0
2026-01-08,Lazer,despesa,150.0
2026-01-09,Saude,despesa,70.0
2026-01-10,Transporte,despesa,25.0
2026-02-01,Alimentacao,despesa,55.0
2026-02-02,Lazer,despesa,200.0
2026-02-03,Transporte,despesa,18.0
2026-02-04,Saude,despesa,90.0
2026-02-05,Alimentacao,despesa,35.0
2026-02-06,Lazer,despesa,130.0
2026-02-07,Transporte,despesa,22.0
2026-02-08,Alimentacao,despesa,40.0
2026-02-09,Saude,despesa,65.0
2026-02-10,Lazer,despesa,170.0
2026-03-01,Transporte,despesa,30.0
2026-03-02,Alimentacao,despesa,60.0
2026-03-03,Lazer,despesa,210.0
2026-03-04,Saude,despesa,95.0
2026-03-05,Alimentacao,despesa,50.0
2026-03-06,Transporte,despesa,28.0
2026-03-07,Lazer,despesa,180.0
2026-03-08,Saude,despesa,75.0
2026-03-09,Alimentacao,despesa,45.0
2026-03-10,Transporte,despesa,20.0
